series,scientist,q,c1,c2,c3,c4,answer,explanation,difficulty
mechanics,galileo,In what year was Galileo born?,1543,1564,1609,1687,2,1564 was also the birth year of Shakespeare.,easy
mechanics,galileo,What model of the universe did Galileo support?,Geocentric,Heliocentric,Flat Earth,Dual-sphere,2,He supported the Sun-centered model.,easy
mechanics,galileo,Which planet’s moons did Galileo observe in 1610?,Mars,Jupiter,Saturn,Venus,2,"Galileo discovered four major moons of Jupiter, now called the Galilean moons",easy
mechanics,galileo,In which year did Galileo publish 'Two New Sciences'?,1610,1623,1632,1638,4,Two New Sciences' (1638) summarized his work on kinematics and strength of materials.,normal
mechanics,galileo,What principle did Galileo propose about falling bodies?,Heavier objects fall faster,Objects fall at the same rate in a vacuum,Objects float without air,Speed depends on shape only,2,"Galileo argued that without air resistance, all bodies fall with the same acceleration.",easy
mechanics,galileo,"According to Galileo, how does distance fallen relate to time?",Distance is proportional to time,Distance is proportional to time squared,Distance is proportional to mass,Distance is constant,2,Galileo showed that falling distance increases with the square of time (d ∝ t²).,normal
mechanics,galileo,Which concept did Galileo help develop that later became Newton’s First Law?,Universal gravitation,Relativity,Inertia,Thermodynamics,3,Galileo proposed that motion continues unless disturbed — an early concept of inertia.,normal
mechanics,galileo,What did Galileo discover about projectiles?,They move in straight lines only,They follow circular paths,They follow parabolic paths,They stop immediately without force,3,Galileo demonstrated that projectile motion forms a parabola.,normal
mechanics,galileo,What experimental method did Galileo use to study acceleration?,Vacuum chambers,Inclined planes,Water clocks in rivers,Astronomical telescopes,2,Galileo used inclined planes to slow motion and measure acceleration more precisely.,easy
mechanics,galileo,In what year did Galileo publish 'Sidereus Nuncius'?,1609,1610,1620,1638,2,"Published in 1610, it reported discoveries like Jupiter’s moons.",easy
mechanics,galileo,Which mathematical relationship did Galileo establish for uniformly accelerated motion?,v ∝ t²,d ∝ t²,a ∝ d,v ∝ 1/t,2,Galileo demonstrated that distance traveled under constant acceleration is proportional to the square of time (d ∝ t²).,hard
mechanics,galileo,Why were Galileo’s inclined plane experiments important?,They proved Earth is flat,They eliminated friction completely,They allowed precise measurement of slow acceleration,They showed gravity does not exist,3,"Inclined planes reduced acceleration, making motion slow enough to measure accurately.",hard
mechanics,galileo,Which of the following ideas directly contradicted Aristotelian physics?,Heavier objects fall faster,Motion requires continuous force,Natural motion is circular,Objects maintain motion without force,4,Galileo argued that motion continues without force unless resisted — opposing Aristotle’s idea that force is required to sustain motion.,hard
mechanics,galileo,Galileo’s work on inertia most directly influenced which scientist?,Johannes Kepler,Isaac Newton,Tycho Brahe,René Descartes,2,Newton later formalized inertia as his First Law of Motion.,hard
mechanics,galileo,What shape results when horizontal uniform motion combines with vertical uniformly accelerated motion?,Circle,Ellipse,Parabola,Hyperbola,3,"Galileo showed that projectile motion is the combination of constant horizontal velocity and vertical acceleration, forming a parabola.",hard
mechanics,newton,In what year was Isaac Newton born?,1564,1643,1687,1727,2,"Newton was born in 1643, the same year Galileo died.",easy
mechanics,newton,Which book did Newton publish in 1687?,Opticks,Principia,Mathematical Elements,Dialogue Concerning the Two Chief World Systems,2,Philosophiæ Naturalis Principia Mathematica (1687) presented his laws of motion and universal gravitation.,easy
mechanics,newton,How many laws of motion did Newton formulate?,2,3,4,5,2,Newton formulated three fundamental laws of motion.,easy
mechanics,newton,Newton’s First Law is also known as the law of what?,Momentum,Gravity,Inertia,Acceleration,3,The First Law states that an object maintains its state of motion unless acted upon by a net force.,easy
mechanics,newton,What is the formula for Newton’s Second Law?,F = mv,F = ma,F = m/a,F = a/m,2,The Second Law states that force equals mass times acceleration.,easy
mechanics,newton,Newton’s Third Law describes what principle?,Energy conservation,Action and reaction,Universal attraction,Constant velocity,2,"For every action, there is an equal and opposite reaction.",easy
mechanics,newton,What force did Newton propose acts between all masses?,Electric force,Magnetic force,Frictional force,Gravitational force,4,Newton proposed universal gravitation acting between all masses.,normal
mechanics,newton,"According to Newton’s law of gravitation, gravitational force is inversely proportional to what?",Mass,Time,Distance squared,Velocity,3,The gravitational force decreases with the square of the distance between objects.,normal
mechanics,newton,Which branch of mathematics did Newton help develop independently?,Statistics,Calculus,Topology,Matrix algebra,2,Newton independently developed calculus (which he called fluxions).,normal
mechanics,newton,What was Newton’s position at Cambridge University?,Professor of Chemistry,Lucasian Professor of Mathematics,Astronomer Royal,Master of Trinity College,2,Newton became the Lucasian Professor of Mathematics in 1669.,normal
mechanics,newton,Which optical phenomenon did Newton study extensively?,Diffraction only,Polarization only,Dispersion of light,Radio waves,3,Newton showed that white light is composed of a spectrum of colors.,hard
mechanics,newton,What experiment did Newton use to demonstrate the composition of white light?,Double-slit experiment,Prism experiment,Cathode ray tube,Pendulum timing,2,"Using a prism, Newton demonstrated that white light splits into different colors.",hard
mechanics,newton,Newton’s concept of absolute space and time was later challenged by which scientist?,Galileo Galilei,Albert Einstein,James Clerk Maxwell,Niels Bohr,2,Einstein’s theory of relativity replaced Newton’s absolute framework.,hard
mechanics,newton,What does Newton’s law of universal gravitation mathematically depend on?,Product of masses and inverse square of distance,Sum of masses and inverse distance,Square of masses and inverse distance,Product of masses and distance squared,1,The gravitational force is proportional to the product of the two masses and inversely proportional to the square of the distance between them.,hard
mechanics,newton,Which scientific revolution was Newton a central figure of?,Industrial Revolution,Scientific Revolution,Renaissance,Information Revolution,2,Newton was a key figure in the Scientific Revolution of the 17th century.,normal
mathematics,euler,In what year was Leonhard Euler born?,1643,1687,1707,1727,3,"Euler was born in 1707 in Basel, Switzerland.",easy
mathematics,euler,Which mathematical constant is commonly denoted by the letter e?,The ratio of a circle’s circumference to its diameter,The base of natural logarithms,The golden ratio,The imaginary unit,2,Euler popularized the constant e as the base of natural logarithms.,easy
mathematics,euler,Which famous identity is attributed to Euler?,a² + b² = c²,e^(iπ) + 1 = 0,F = ma,E = mc²,2,Euler’s identity e^(iπ) + 1 = 0 elegantly connects five fundamental constants.,easy
mathematics,euler,Which area of mathematics did Euler significantly develop?,Game theory,Graph theory,Category theory,Chaos theory,2,"Euler solved the Königsberg bridge problem, laying foundations of graph theory.",normal
mathematics,euler,What problem led to the birth of graph theory?,Fermat’s Last Theorem,Königsberg bridge problem,Three-body problem,Squaring the circle,2,Euler proved there was no path crossing each bridge exactly once.,normal
mathematics,euler,Which notation did Euler popularize in mathematics?,f(x) for functions,∑ for summation,lim for limits,d/dx for derivatives,1,Euler popularized the modern function notation f(x).,normal
mathematics,euler,Euler introduced the symbol i to represent what?,Infinite series,Integration,The imaginary unit,Index notation,3,Euler introduced i to denote √−1.,normal
mathematics,euler,Which formula relates complex exponentials to trigonometric functions?,Binomial theorem,Euler’s formula,Taylor expansion,Green’s theorem,2,Euler’s formula states e^(ix) = cos(x) + i sin(x).,hard
mathematics,euler,What is Euler’s characteristic formula for polyhedra?,V − E + F = 2,V + E − F = 0,V − E − F = 2,V + E + F = 2,1,"For convex polyhedra, vertices minus edges plus faces equals 2.",hard
mathematics,euler,Which infinite series problem did Euler famously solve?,Sum of natural numbers,Sum of reciprocals of squares,Sum of primes,Sum of cubes,2,Euler proved that ∑(1/n²) = π²/6.,hard
mathematics,euler,Which academy did Euler work for in Russia?,French Academy,Royal Society,St. Petersburg Academy,Berlin Academy,3,Euler spent many productive years at the St. Petersburg Academy.,normal
mathematics,euler,Euler made major contributions to which branch of mechanics?,Quantum mechanics,Classical mechanics,Statistical mechanics,Relativistic mechanics,2,Euler developed equations for rigid body rotation in classical mechanics.,normal
mathematics,euler,Which differential equations describe inviscid fluid flow and are named after Euler?,Navier–Stokes equations,Euler equations,Wave equation,Laplace equation,2,The Euler equations describe motion of an ideal (non-viscous) fluid.,hard
mathematics,euler,Euler’s work strongly influenced which later mathematician?,Carl Friedrich Gauss,René Descartes,Euclid,Archimedes,1,Gauss built upon many of Euler’s results in number theory and analysis.,hard
mathematics,euler,"Despite severe visual impairment later in life, Euler continued to do what?",Retired completely,Stopped publishing,Taught only,Produced prolific mathematical work,4,Euler remained extraordinarily productive even after becoming nearly blind.,normal
mechanics,pascal,In what year was Blaise Pascal born?,1596,1608,1623,1643,3,Pascal was born in 1623 in France.,easy
mechanics,pascal,Which physical principle is named after Pascal?,Law of inertia,Pascal’s principle,Law of gravitation,Hooke’s law,2,Pascal’s principle states that pressure applied to a confined fluid is transmitted equally in all directions.,easy
mechanics,pascal,Pascal’s principle is fundamental to the operation of what device?,Steam engine,Hydraulic press,Gyroscope,Pendulum clock,2,Hydraulic presses multiply force using Pascal’s principle.,easy
mechanics,pascal,Pressure is defined as force divided by what?,Volume,Mass,Area,Distance,3,Pressure is defined as force per unit area (P = F/A).,easy
mechanics,pascal,"In a hydraulic system, if the output piston has twice the area of the input piston, the output force is what?",Half the input force,The same as the input force,Twice the input force,Four times the input force,3,"Since P = F/A and pressure is equal, doubling area doubles force.",normal
mechanics,pascal,Which unit of pressure is named after Pascal?,Newton,Pascal,Joule,Watt,2,"The SI unit of pressure is the pascal (Pa), equal to one newton per square meter.",normal
mechanics,pascal,What experiment helped demonstrate the existence of atmospheric pressure?,Foucault pendulum,Torricelli barometer experiment,Michelson–Morley experiment,Cavendish experiment,2,"Pascal supported Torricelli’s barometer findings, showing air has weight and exerts pressure.",normal
mechanics,pascal,What happens to pressure in a confined incompressible fluid when an external pressure is applied?,It decreases with distance,It increases only upward,It is transmitted equally in all directions,It disappears at the walls,3,This is the essence of Pascal’s principle.,normal
mechanics,pascal,"If force is kept constant and area decreases, pressure will what?",Decrease,Remain constant,Increase,Become zero,3,"Since P = F/A, decreasing area increases pressure.",normal
mechanics,pascal,Which physical quantity does a hydraulic press multiply directly?,Energy,Velocity,Force,Mass,3,A hydraulic press multiplies force by increasing the area.,hard
mechanics,pascal,Pascal’s studies of fluids contributed to which broader branch of mechanics?,Thermodynamics,Fluid mechanics,Quantum mechanics,Celestial mechanics,2,"His work laid foundations of hydrostatics, a branch of fluid mechanics.",hard
mechanics,pascal,Atmospheric pressure decreases primarily with what factor?,Temperature,Time,Altitude,Color,3,Atmospheric pressure decreases as altitude increases.,hard
mechanics,pascal,Which mountain experiment did Pascal conduct to show pressure changes with height?,Mont Blanc experiment,Puy de Dôme experiment,Matterhorn test,Mount Etna trial,2,Pascal arranged measurements at different elevations on Puy de Dôme.,hard
mechanics,pascal,"In hydrostatics, pressure at a given depth depends mainly on what?",Container shape,Fluid density and depth,Color of fluid,Surface area only,2,"Hydrostatic pressure depends on density, gravity, and depth (P = ρgh).",hard
mechanics,pascal,Pascal’s work on probability theory was developed in correspondence with which mathematician?,Descartes,Fermat,Euler,Gauss,2,Pascal and Fermat laid the foundations of probability theory.,hard
mechanics,lagrange,In what year was Joseph-Louis Lagrange born?,1707,1736,1749,1768,2,Lagrange was born in 1736 in Turin.,easy
mechanics,lagrange,Lagrange reformulated classical mechanics using which quantity instead of force?,Momentum,Energy,Angular velocity,Pressure,2,Lagrangian mechanics is based on energy rather than directly on forces.,easy
mechanics,lagrange,What is the Lagrangian defined as?,T − V,T + V,V − T,F · d,1,The Lagrangian L is defined as kinetic energy minus potential energy (L = T − V).,easy
mechanics,lagrange,Which equation forms the core of Lagrangian mechanics?,Navier–Stokes equation,Euler–Lagrange equation,Maxwell’s equations,Wave equation,2,The Euler–Lagrange equation gives the equations of motion from the Lagrangian.,normal
mechanics,lagrange,The Euler–Lagrange equation is derived using what mathematical concept?,Matrix diagonalization,Variational principle,Fourier transform,Vector cross product,2,It comes from the principle of stationary action.,normal
mechanics,lagrange,Lagrangian mechanics is especially useful when dealing with what type of systems?,Simple linear motion only,Systems with constraints,Only gravitational systems,Only fluid systems,2,It simplifies treatment of systems with constraints using generalized coordinates.,normal
mechanics,lagrange,What are coordinates used in Lagrangian mechanics called?,Cartesian coordinates,Polar coordinates,Generalized coordinates,Inertial coordinates,3,Lagrange introduced generalized coordinates adapted to constraints.,normal
mechanics,lagrange,Which principle states that the path taken by a system makes the action stationary?,Conservation of energy,Principle of inertia,Principle of least action,Uncertainty principle,3,Lagrangian mechanics is based on the principle of stationary (least) action.,hard
mechanics,lagrange,"Compared to Newtonian mechanics, Lagrangian mechanics avoids explicitly using what?",Energy,Time,Force,Vector components,3,It does not require direct use of forces; equations come from energy functions.,hard
mechanics,lagrange,Which later formulation of mechanics is closely related to Lagrange’s work?,Hamiltonian mechanics,Quantum field theory,Thermodynamics,Relativity,1,Hamiltonian mechanics developed directly from Lagrangian mechanics.,hard
mechanics,lagrange,Which famous celestial mechanics work did Lagrange contribute to?,Mécanique Analytique,Principia Opticks,Traité de Dynamique,Celestial Harmonies,1,Mécanique Analytique systematically reformulated mechanics using analysis.,normal
mechanics,lagrange,What is minimized or made stationary in Lagrangian mechanics?,Force,Energy,Action,Momentum,3,The action integral is made stationary.,hard
mechanics,lagrange,"In the Lagrangian framework, equations of motion are derived from what?",Differentiating momentum,Applying Newton’s third law,Setting δS = 0,Balancing forces directly,3,The condition δS = 0 (variation of action equals zero) gives the equations.,hard
mechanics,lagrange,Lagrange points (L1–L5) are solutions in which field?,Electromagnetism,Fluid mechanics,Celestial mechanics,Thermodynamics,3,They are equilibrium points in the restricted three-body problem.,normal
mechanics,lagrange,Lagrange’s reformulation of mechanics reduced the need for what geometric reasoning common in Newton’s work?,Vector diagrams,Algebraic manipulation,Calculus of variations,Numerical tables,1,His analytic method reduced reliance on geometric constructions.,hard
mechanics,hamilton,In what year was William Rowan Hamilton born?,1736,1805,1824,1853,2,"Hamilton was born in 1805 in Dublin, Ireland.",easy
mechanics,hamilton,Which formulation of mechanics is named after Hamilton?,Vector mechanics,Hamiltonian mechanics,Relativistic mechanics,Quantum field mechanics,2,Hamiltonian mechanics reformulates classical mechanics using the Hamiltonian function.,easy
mechanics,hamilton,The Hamiltonian H often corresponds to what physical quantity in many systems?,Momentum,Force,Total energy (T + V),Action,3,"For many classical systems, the Hamiltonian equals total energy (kinetic plus potential).",easy
mechanics,hamilton,Which pair of variables are central in Hamiltonian mechanics?,Force and acceleration,Position and velocity,Position and momentum,Mass and energy,3,Hamiltonian mechanics uses generalized coordinates q and conjugate momenta p.,normal
mechanics,hamilton,Hamilton’s equations express time evolution using what type of derivatives?,Ordinary derivatives only,Partial derivatives,Vector gradients,Second derivatives only,2,Hamilton’s equations involve partial derivatives of H with respect to q and p.,normal
mechanics,hamilton,Hamilton’s equations are typically written in terms of q and what symbol for momentum?,v,F,p,L,3,The conjugate momentum is denoted by p.,normal
mechanics,hamilton,Hamiltonian mechanics is mathematically closely related to which field?,Thermodynamics,Symplectic geometry,Fluid statics,Elasticity theory,2,The formal structure of Hamiltonian mechanics underlies symplectic geometry.,hard
mechanics,hamilton,Which principle connects Hamiltonian mechanics to optics?,Archimedes’ principle,Fermat’s principle,Pauli exclusion principle,Heisenberg uncertainty principle,2,Hamilton developed an analogy between mechanics and Fermat’s principle in optics.,hard
mechanics,hamilton,Hamilton’s formulation plays a foundational role in which modern theory?,Classical thermodynamics,Quantum mechanics,Fluid turbulence,Continuum elasticity,2,Quantum mechanics is largely built upon Hamiltonian formalism.,hard
mechanics,hamilton,"If the Hamiltonian does not explicitly depend on time, what is conserved?",Force,Velocity,Energy,Mass,3,"When H has no explicit time dependence, total energy is conserved.",normal
mechanics,hamilton,"Compared to Newtonian mechanics, Hamiltonian mechanics emphasizes what property?",Geometric symmetry,Frictional forces,Empirical measurement,Experimental apparatus,1,The Hamiltonian formulation highlights deep geometric and symmetry structures.,hard
mechanics,hamilton,The transformation from Lagrangian to Hamiltonian mechanics involves what mathematical operation?,Fourier transform,Legendre transform,Matrix inversion,Vector rotation,2,The Hamiltonian is obtained from the Lagrangian via a Legendre transform.,hard
mechanics,hamilton,Which mathematical object introduced by Hamilton extends complex numbers?,Tensors,Matrices,Quaternions,Vectors,3,"Hamilton invented quaternions, extending complex numbers to four dimensions.",normal
mechanics,hamilton,Hamilton’s quaternions are especially useful in describing what?,Heat transfer,Planetary temperature,Celestial color,Rotations in three dimensions,4,Quaternions are widely used to describe 3D rotations.,normal
mechanics,hamilton,Hamiltonian mechanics replaces second-order equations of motion with what type of system?,Algebraic equations,Fourth-order equations,Coupled first-order equations,Random equations,3,Hamilton’s equations form a system of coupled first-order differential equations.,hard